,0
503,2
504,7
505,1
506,2
507,2
508,11
509,2
510,15
511,5
512,2
513,2
514,10
515,12
516,3
517,5
518,11
519,4
520,8
521,20
522,3
523,3
524,2
525,6
526,11
527,3
528,1
529,5
530,4
531,6
532,3
533,1
534,1
535,0
536,10
537,7
538,4
539,2
540,3
541,8
542,3
543,2
544,2
545,0
546,2
547,5
548,8
549,2
550,1
551,3
552,2
553,2
554,0
555,6
556,6
557,4
558,2
559,0
560,2
561,1
562,2
563,3
564,2
565,1
566,4
567,3
568,1
569,6
570,0
571,3
572,1
573,2
574,6
575,4
576,6
577,2
578,4
579,4
580,0
581,3
582,4
583,3
584,0
585,1
586,4
587,3
588,4
589,0
590,1
591,0
592,2
593,3
594,0
595,0
596,5
597,7
598,2
599,2
600,3
601,3
602,2
603,10
604,0
605,2
606,4
607,5
608,0
609,3
610,1
611,0
612,2
613,3
614,3
615,1
616,5
617,3
618,6
619,1
620,1
621,2
622,2
623,3
624,3
625,0
626,9
627,2
628,2
629,1
630,5
631,3
632,0
633,1
634,8
635,4
636,0
637,1
638,1
639,3
640,1
641,6
642,2
643,10
644,1
645,14
646,0
647,1
648,3
649,1
650,1
651,4
652,1
653,3
654,0
655,5
656,0
657,1
658,1
659,4
660,1
661,3
662,1
663,6
664,0
665,2
666,2
667,0
668,5
669,2
670,2
671,2
672,2
673,1
674,2
675,1
676,2
677,2
678,3
679,3
680,1
681,2
682,1
683,2
684,5
685,1
686,1
687,1
688,2
689,1
690,0
691,2
692,2
693,2
694,1
695,3
696,2
697,0
698,0
699,1
700,0
701,2
702,2
703,2
704,0
705,2
706,1
707,2
708,0
709,3
710,4
711,4
712,2
713,2
714,0
715,2
716,0
717,1
718,0
719,1
720,1
721,1
722,2
723,0
724,1
725,1
726,0
727,2
728,1
729,3
730,0
731,0
732,0
733,0
734,1
735,1
736,1
737,2
738,0
739,0
740,1
741,2
742,1
743,1
744,0
745,2
746,3
747,0
748,1
749,0
750,0
751,0
752,1
753,0
754,0
755,0
756,1
757,0
758,2
759,1
760,1
761,1
762,0
763,3
764,2
765,0
766,0
767,1
768,0
769,0
770,1
771,1
772,1
773,0
774,1
775,2
776,0
777,1
778,3
779,0
780,0
781,1
782,1
783,0
784,1
785,1
786,1
787,0
788,0
789,1
790,1
791,0
792,2
793,3
794,1
795,1
796,1
797,0
798,0
799,0
800,1
801,1
802,0
803,1
804,0
805,1
806,1
807,0
808,2
809,1
810,2
811,0
812,0
813,0
814,0
815,1
816,0
817,2
818,1
819,0
820,1
821,1
822,1
823,1
824,1
825,2
826,1
827,1
828,2
829,2
830,0
831,0
832,0
833,1
834,0
835,2
836,0
837,0
838,1
839,1
840,0
841,2
842,0
843,1
844,0
845,1
846,1
847,0
848,1
849,0
850,0
851,0
852,1
853,0
854,2
855,2
856,0
857,0
858,0
859,1
860,1
861,2
862,0
